"NPL pack ID";"Nordic"
"19801001100106";"532697"
"19801001100168";"113894"
"19801001100175";"113910"
"19801001100182";"113902"
"19801001100199";"113928"
"19801003100050";"532721"
"19810101100183";"514711"
"19810401100166";"456715"
"19810401100203";"457937"
"19810401100241";"458653"
"19810701100156";"526103"
"19811001100228";"003988"
"19820101100168";"556670"
"19820101100175";"541250"
"19820101100212";"553990"
"19820101100229";"554006"
"19820101100298";"511956"
"19820101100304";"511964"
"19820101100311";"511972"
"19820101100380";"537761"
"19820205100019";"511998"
"19820205100026";"511980"
"19820312100018";"529966"
"19820312100025";"529974"
"19820312100032";"529958"
"19820312100049";"529941"
"19820401100066";"543348"
"19820401100141";"543330"
"19820401100318";"118323"
"19820903100014";"124481"
"19820903100021";"026623"
"19821001100296";"527812"
"19821001100302";"553149"
"19821001100319";"553131"
"19830101100068";"498561"
"19830101100129";"062265"
"19830101100136";"062273"
"19831007100015";"074526"
"19840101100067";"079533"
"19840101100074";"079525"
"19840101100081";"079566"
"19840101100098";"079558"
"19840401100019";"054497"
"19840401100026";"054506"
"19840401100033";"054524"
"19840401100040";"054515"
"19840401100088";"070052"
"19841001100027";"081349"
"19841001100034";"085738"
"19850101100158";"021416"
"19850101100172";"084095"
"19850101100189";"084228"
"19850101100196";"084210"
"19850101100202";"084236"
"19850102100010";"178574"
"19850102100027";"086801"
"19850201100010";"077057"
"19850201100027";"077073"
"19850401100025";"079541"
"19850401100124";"077180"
"19850401100315";"109223"
"19850401100339";"109215"
"19850401100377";"018209"
"19850401100391";"110080"
"19850701100022";"091645"
"19850701100039";"091652"
"19850906100025";"091678"
"19850906100049";"091686"
"19851001100088";"063572"
"19851001100149";"079780"
"19851001100194";"107300"
"19851001100200";"107318"
"19851218100017";"150466"
"19851218100024";"150474"
"19860101100072";"553099"
"19860401100116";"097238"
"19860401100123";"097220"
"19860401100130";"128298"
"19860401100284";"090084"
"19860401100314";"102954"
"19860425100024";"518969"
"19860425100048";"518944"
"19860425100055";"518951"
"19860425100062";"134809"
"19860425100079";"164699"
"19860609100017";"057349"
"19860701100038";"155499"
"19860701100045";"155325"
"19860701100106";"412924"
"19861001100193";"169888"
"19861001100209";"169896"
"19861001100223";"025668"
"19861001100261";"170365"
"19861212100012";"025395"
"19861212100029";"025460"
"19870101100231";"090343"
"19870327100015";"059089"
"19870401100092";"142299"
"19870401100184";"135319"
"19870401100214";"052084"
"19870401100238";"073947"
"19870701100181";"142034"
"19871001100123";"197418"
"19871001100130";"197517"
"19871001100147";"197855"
"19871001100154";"197756"
"19880101100032";"174300"
"19880101100070";"174359"
"19880101100117";"160580"
"19880101100162";"021323"
"19880101100193";"161265"
"19880401100121";"412718"
"19880401100183";"444703"
"19880401100190";"444729"
"19880401100343";"436048"
"19880701100043";"434670"
"19880701100067";"588921"
"19880701100135";"192112"
"19880701100159";"192286"
"19880701100258";"439091"
"19880916100043";"430066"
"19880916100074";"459081"
"19880916100081";"459099"
"19881001100085";"419242"
"19881001100139";"459743"
"19881001100436";"451518"
"19881028100020";"001844"
"19881028100037";"001833"
"19881028100044";"001590"
"19881028100051";"001888"
"19881028100068";"001877"
"19881028100075";"001921"
"19881028100082";"001910"
"19881028100099";"001932"
"19881028100105";"406678"
"19881028100143";"001855"
"19890101100024";"459867"
"19890101100192";"446930"
"19890317100054";"039709"
"19890327100013";"449637"
"19890327100020";"449652"
"19890401100069";"175315"
"19890401100137";"475707"
"19890401100243";"469304"
"19890609100014";"057455"
"19890609100021";"469346"
"19890609100038";"469338"
"19890609100045";"469353"
"19890701100011";"074998"
"19891001100176";"018697"
"19891001100183";"018689"
"19891001100190";"018770"
"19891001100206";"018960"
"19891001100343";"534024"
"19891001100572";"556993"
"19891208100078";"491753"
"19900101100228";"014274"
"19900101100303";"128280"
"19900101100310";"127647"
"19900101100327";"128306"
"19900101100341";"128926"
"19900101100372";"129254"
"19900401100201";"123919"
"19900401100232";"123935"
"19900401100287";"452300"
"19900401100294";"446807"
"19900401100300";"478289"
"19900401100492";"483511"
"19900401100508";"483503"
"19900401100515";"483552"
"19900401100522";"483537"
"19900401100584";"478305"
"19900401100621";"138594"
"19900405100016";"431098"
"19900701100086";"151860"
"19900701100093";"151852"
"19900701100130";"018154"
"19901001100011";"124586"
"19901001100028";"124602"
"19901001100066";"124628"
"19901001100097";"023168"
"19901001100165";"116327"
"19901001100172";"116418"
"19901001100271";"069229"
"19901001100318";"407163"
"19901001100325";"407247"
"19910101100111";"005876"
"19910101100128";"005819"
"19910101100135";"005926"
"19910101100173";"558288"
"19910101100180";"000463"
"19910101100197";"000448"
"19910101100210";"193242"
"19910101100241";"164186"
"19910101100258";"164228"
"19910101100326";"442699"
"19910125100012";"082479"
"19910125100029";"125898"
"19910125100036";"082487"
"19910125100043";"125880"
"19910401100132";"037531"
"19910401100163";"106021"
"19910401100217";"164829"
"19910401100231";"164840"
"19910401100286";"038448"
"19910401100309";"038257"
"19910405100015";"090282"
"19910405100022";"090654"
"19910419100025";"082545"
"19910524100019";"476192"
"19910531100040";"116731"
"19910701100191";"423061"
"19910701100221";"168146"
"19910701100337";"024180"
"19910701100344";"024296"
"19910701100351";"024293"
"19910701100368";"024213"
"19910701100375";"024249"
"19910701100382";"024202"
"19910906100019";"093310"
"19910906100026";"093336"
