Nordic_number,Stockout_start,Stockout_end
005155,2019-03-05,2019-05-03
005241,2018-01-05,2018-01-05
005241,2019-09-06,2019-09-09
005241,2020-10-06,2020-10-07
005292,2019-09-02,2019-09-02
005292,2019-12-12,2019-12-16
005292,2020-03-13,2020-03-16
005292,2020-05-14,2020-05-14
005292,2020-05-18,2020-05-19
005292,2020-06-01,2020-06-02
005292,2020-06-04,2020-06-08
005292,2020-10-29,2020-12-04
005292,2020-12-21,2020-12-21
005292,2020-12-23,2020-12-28
005292,2020-12-30,2021-01-06
005363,2018-05-16,2018-05-16
005565,2018-12-12,2019-03-22
005588,2020-03-24,2020-03-26
005624,2020-05-22,2020-06-08
005635,2020-09-16,2020-10-05
005635,2020-10-29,2020-12-04
005641,2018-04-13,2018-04-13
005641,2018-08-07,2018-08-09
005641,2018-09-12,2018-09-17
005641,2018-09-19,2018-10-29
005641,2020-03-06,2020-03-09
005641,2020-03-11,2020-03-17
005641,2020-03-19,2020-03-20
005672,2019-03-25,2019-04-10
005674,2018-06-14,2018-06-14
005674,2019-04-08,2019-04-08
005700,2020-08-11,2020-08-12
005700,2020-08-17,2020-09-02
005711,2018-02-26,2018-02-26
005722,2018-07-31,2018-07-31
005741,2018-10-16,2018-10-17
005741,2019-05-06,2019-11-29
005757,2020-01-13,2020-01-13
005766,2018-08-02,2018-08-06
005766,2018-08-14,2018-08-21
005766,2020-01-10,2020-01-10
005806,2020-08-18,2020-10-02
005806,2020-10-19,2020-11-18
005806,2020-11-30,2020-12-11
005806,2020-12-15,2021-01-06
005812,2020-01-08,2020-01-10
005813,2020-03-17,2020-03-17
005814,2020-02-25,2020-03-25
005814,2020-03-27,2020-04-28
005814,2020-05-01,2020-07-24
005814,2020-07-30,2020-08-20
005814,2020-08-31,2021-01-06
005867,2018-10-10,2018-10-10
005867,2020-12-29,2021-01-01
005885,2018-08-03,2018-08-03
005885,2019-11-29,2020-01-20
005899,2018-11-08,2019-01-08
005899,2019-02-04,2019-02-05
005899,2019-02-28,2019-03-01
005899,2019-03-26,2019-05-01
005899,2019-05-06,2019-05-06
005899,2020-02-26,2020-08-17
005899,2020-12-18,2020-12-21
005922,2020-04-03,2020-04-06
005922,2020-04-29,2020-04-29
005922,2020-05-04,2020-05-04
005922,2020-05-18,2020-05-18
005922,2020-05-25,2020-06-17
005922,2020-06-26,2020-06-29
005933,2018-11-01,2018-11-01
005933,2020-01-10,2020-01-14
005933,2020-04-03,2020-04-03
005988,2018-10-25,2018-10-25
005988,2018-11-30,2018-12-04
005988,2019-01-15,2019-01-22
005988,2019-03-13,2019-03-15
005988,2019-03-27,2019-03-27
005988,2020-04-07,2020-09-03
006024,2018-05-24,2018-05-24
006024,2018-06-18,2018-08-03
006024,2020-02-04,2020-02-05
006024,2020-11-04,2020-12-21
006046,2018-02-26,2018-03-06
006046,2019-01-16,2019-05-27
006069,2020-01-24,2020-02-03
006079,2019-05-21,2019-06-18
006079,2019-08-29,2019-08-29
006087,2018-01-01,2018-01-11
006087,2018-01-16,2018-01-24
006087,2018-01-26,2018-01-29
006087,2018-02-02,2018-02-08
006087,2018-02-27,2018-05-09
006087,2018-05-15,2018-09-21
006102,2019-03-12,2019-03-14
006102,2019-03-22,2019-03-22
006102,2019-06-11,2019-06-11
006134,2018-01-15,2018-02-06
006134,2018-02-08,2018-02-09
006134,2018-02-13,2018-02-13
006134,2018-02-27,2018-08-16
006168,2018-01-01,2018-01-26
006443,2020-03-09,2020-03-09
006542,2018-01-05,2018-01-26
006542,2018-02-07,2018-02-23
006542,2018-03-08,2018-03-08
006542,2018-03-12,2018-03-12
006542,2018-03-15,2018-03-15
006542,2018-03-21,2018-03-22
006542,2018-04-04,2018-04-09
006542,2018-05-23,2018-05-25
006542,2018-06-08,2018-06-12
006542,2018-06-15,2018-06-15
006542,2019-07-23,2019-08-01
006542,2019-08-05,2019-08-28
006542,2019-08-30,2019-09-27
006542,2019-10-01,2019-12-11
006579,2018-04-04,2018-05-01
006579,2018-10-16,2018-10-16
006579,2019-10-04,2020-11-27
006590,2019-10-25,2019-10-30
006637,2018-01-03,2018-01-09
006637,2019-09-04,2019-10-01
006637,2020-06-08,2020-07-14
006653,2018-01-01,2018-03-22
006653,2019-10-07,2019-10-08
006653,2019-11-29,2019-11-29
006653,2019-12-17,2020-01-24
006742,2018-05-21,2018-05-21
006742,2018-05-25,2018-05-31
006742,2018-06-04,2018-06-14
006811,2018-07-09,2018-12-14
006821,2018-03-27,2018-03-27
006821,2019-02-12,2019-02-21
006821,2020-03-16,2020-03-20
006828,2018-11-19,2018-11-30
006837,2019-09-02,2019-11-13
006837,2020-01-15,2020-01-15
006839,2018-01-01,2018-04-17
006847,2018-02-28,2018-09-24
006847,2019-11-27,2021-01-06
006850,2018-09-12,2018-12-14
006867,2019-08-06,2019-08-08
006867,2019-09-18,2019-09-23
006867,2019-10-16,2019-10-21
006869,2019-04-10,2019-04-10
006880,2019-09-23,2019-09-23
006899,2020-03-17,2020-03-26
006899,2020-05-13,2020-05-18
006921,2021-01-06,2021-01-06
006928,2018-04-12,2018-04-17
006928,2018-11-09,2018-11-09
006928,2018-11-13,2018-11-19
006928,2018-11-21,2018-12-05
006928,2019-09-24,2019-09-27
006928,2019-10-01,2019-10-09
006928,2019-11-05,2020-01-31
006985,2018-06-19,2018-06-19
006985,2018-06-29,2018-06-29
006985,2019-05-13,2019-05-13
006985,2019-05-15,2019-05-15
006985,2019-05-23,2019-05-27
006985,2019-05-31,2019-05-31
006985,2019-06-07,2019-06-18
006985,2019-11-12,2019-11-12
006985,2020-04-24,2020-05-11
006985,2020-05-18,2020-05-19
006985,2020-08-13,2020-08-13
006985,2020-09-14,2020-09-14
006985,2020-12-23,2021-01-06
007007,2018-04-20,2018-04-30
007007,2018-10-12,2020-03-06
007008,2019-01-03,2019-01-03
007008,2019-01-28,2019-02-06
007015,2019-11-01,2019-11-01
007016,2018-01-08,2018-01-08
007016,2018-08-03,2018-08-03
007016,2019-11-29,2019-12-27
007016,2020-02-21,2020-02-26
007016,2020-03-03,2020-03-06
007016,2020-04-24,2020-04-24
007016,2020-04-28,2020-04-28
007016,2020-04-30,2020-05-01
007016,2020-09-22,2020-10-02
007016,2020-10-23,2020-10-23
007016,2020-10-27,2020-10-30
007016,2020-11-23,2020-11-23
007067,2019-01-25,2019-01-29
007067,2019-02-25,2019-02-25
007067,2019-03-01,2019-03-05
007067,2020-03-20,2020-03-20
007092,2018-06-18,2018-06-19
007092,2018-06-25,2018-08-10
007092,2018-12-05,2018-12-28
007099,2018-01-01,2018-01-12
007107,2019-01-25,2019-01-29
007107,2019-02-18,2019-02-19
007107,2019-03-13,2019-03-14
007107,2019-03-19,2019-04-05
007107,2020-08-26,2020-10-12
007129,2018-10-30,2018-11-30
007129,2019-07-09,2019-07-26
007129,2019-10-21,2019-11-15
007129,2020-04-08,2020-04-15
007129,2020-09-14,2021-01-06
007133,2018-01-03,2018-01-08
007133,2018-01-10,2018-01-11
007133,2020-10-30,2020-10-30
007144,2018-01-01,2018-02-05
007144,2018-02-08,2018-02-09
007144,2018-02-22,2018-02-22
007155,2018-01-03,2018-01-08
007179,2019-10-10,2019-11-01
007179,2019-11-14,2019-12-03
007179,2020-12-04,2020-12-04
007186,2019-07-08,2019-07-08
007186,2020-01-07,2020-01-30
007186,2020-08-04,2020-08-06
007290,2019-02-19,2019-03-08
007290,2019-04-26,2019-06-12
007290,2019-07-01,2019-07-04
007290,2019-12-06,2019-12-06
007290,2020-01-06,2020-01-06
007290,2020-01-08,2020-01-08
007290,2020-01-13,2020-01-14
007290,2020-03-23,2020-04-15
007290,2020-07-02,2020-07-02
007290,2020-07-06,2020-09-30
007297,2018-01-01,2018-02-23
007330,2018-01-17,2018-01-19
007330,2018-02-08,2018-02-09
007330,2018-02-13,2018-03-01
007330,2018-10-26,2018-10-30
007330,2018-11-15,2018-12-07
007330,2019-02-22,2019-02-26
007330,2019-07-12,2019-07-29
007330,2019-08-02,2019-08-14
007330,2020-03-10,2020-03-10
007330,2020-03-12,2020-03-18
007330,2020-10-02,2020-10-15
007330,2021-01-06,2021-01-06
007360,2018-05-04,2018-05-04
007360,2019-04-12,2019-04-12
007434,2019-02-21,2019-02-21
007434,2019-03-14,2019-03-15
007434,2019-03-26,2019-05-03
007434,2019-06-04,2019-06-07
007434,2019-06-13,2019-06-14
007434,2019-08-21,2019-08-21
007434,2019-08-29,2019-10-02
007494,2018-01-01,2018-03-05
007494,2018-03-07,2018-03-23
007505,2018-01-08,2018-01-10
007505,2018-05-01,2018-08-22
007505,2018-08-24,2018-08-24
007505,2018-08-28,2018-08-30
007505,2019-08-14,2019-08-14
007505,2019-08-20,2019-09-19
007505,2019-09-23,2019-10-01
007505,2019-11-19,2020-03-19
007505,2020-05-05,2020-05-06
007505,2020-05-12,2020-05-12
007505,2020-05-15,2020-05-15
007515,2020-01-13,2020-02-07
007515,2020-05-25,2020-05-25
007601,2018-02-22,2018-02-22
007601,2018-03-06,2018-03-09
007649,2018-09-06,2018-09-06
007649,2019-06-03,2019-06-04
007649,2019-10-03,2019-10-30
007649,2019-11-01,2019-11-04
007649,2020-01-30,2020-01-31
007649,2020-02-11,2020-04-15
007693,2018-02-21,2018-03-09
007693,2019-01-03,2019-01-03
007693,2019-02-27,2019-03-08
007693,2019-04-22,2019-04-24
007693,2019-11-15,2019-12-13
007721,2018-09-27,2018-09-27
007721,2019-01-22,2019-01-22
007721,2019-01-29,2019-01-30
007721,2019-02-12,2019-03-08
007721,2019-04-25,2019-07-08
007721,2019-07-25,2019-08-30
007721,2020-01-21,2020-01-22
007735,2018-11-07,2018-11-07
007735,2018-12-04,2019-01-21
007735,2019-05-21,2019-05-21
007735,2019-07-01,2019-08-06
007760,2018-08-24,2018-08-24
007760,2018-12-03,2019-04-04
007760,2020-03-06,2020-03-09
007760,2020-03-11,2020-03-17
007760,2020-04-03,2020-04-03
007769,2018-05-21,2018-08-23
007852,2019-11-18,2019-11-18
007852,2020-03-11,2020-04-06
007852,2020-04-08,2020-04-08
007921,2018-06-04,2018-06-04
007921,2018-06-07,2018-07-04
007921,2018-07-12,2018-08-28
007921,2019-05-20,2019-05-31
007921,2019-07-08,2019-07-17
007921,2020-04-21,2020-05-01
007921,2020-06-15,2020-06-15
007921,2020-06-17,2020-06-18
007921,2020-06-23,2020-06-23
007957,2019-06-11,2019-06-11
007957,2019-06-13,2019-06-14
007957,2020-05-06,2020-05-06
007957,2020-05-11,2020-05-11
007957,2020-05-20,2020-05-25
007957,2020-06-08,2020-07-27
008086,2019-01-18,2019-02-08
008086,2019-02-13,2019-02-14
008086,2019-02-26,2019-03-28
008086,2019-04-17,2019-05-06
008086,2019-12-06,2020-04-15
008102,2018-10-18,2018-10-18
008102,2019-01-03,2019-02-08
008102,2019-02-15,2019-02-22
008102,2019-03-19,2019-05-16
008102,2019-11-05,2019-11-06
008102,2019-11-21,2019-11-22
008102,2020-01-31,2020-01-31
008102,2020-02-05,2020-02-05
008102,2020-03-30,2020-04-03
008176,2018-02-02,2018-02-08
008176,2018-04-18,2018-04-30
008176,2018-05-04,2018-05-28
008291,2018-12-03,2018-12-04
008291,2018-12-20,2018-12-27
008291,2019-06-04,2019-06-04
008291,2019-08-20,2020-02-07
008346,2019-02-06,2019-02-07
008346,2020-09-23,2020-10-30
008346,2020-11-23,2020-11-23
008383,2018-10-30,2018-12-14
008383,2020-04-29,2020-05-13
008383,2020-12-17,2021-01-06
008451,2018-01-03,2018-02-13
008451,2018-02-26,2018-04-09
008451,2018-04-11,2018-08-06
008451,2018-08-14,2020-02-18
008451,2020-02-21,2020-07-27
008451,2020-08-31,2021-01-06
008453,2020-08-11,2020-08-12
008466,2018-02-27,2018-04-13
008466,2018-10-19,2018-11-22
008466,2018-11-30,2018-11-30
008466,2019-04-10,2019-04-10
008466,2020-03-02,2020-03-18
008466,2020-09-28,2021-01-06
008488,2020-04-28,2020-08-17
008506,2020-09-18,2021-01-06
008524,2019-01-15,2019-02-08
008524,2019-03-19,2019-03-22
008524,2019-03-27,2019-04-05
008524,2019-04-10,2019-04-10
008524,2019-04-17,2019-04-17
008524,2019-05-06,2019-05-16
008524,2019-08-27,2019-09-13
008524,2019-09-23,2019-09-23
008524,2019-10-01,2019-10-07
008524,2019-10-11,2019-10-18
008524,2019-10-22,2019-10-25
008524,2019-10-29,2019-11-06
008524,2019-12-12,2019-12-16
008524,2020-01-07,2020-01-29
008656,2018-01-15,2020-01-24
008666,2020-09-15,2021-01-06
008707,2019-05-24,2019-05-24
008707,2019-10-08,2019-10-10
008718,2019-02-08,2019-02-08
008740,2019-04-30,2019-04-30
008740,2020-03-05,2020-03-09
008740,2020-10-22,2020-10-22
008740,2020-10-30,2020-10-30
008740,2020-11-23,2020-11-23
008740,2020-12-01,2021-01-06
008745,2018-01-01,2018-02-23
008768,2018-01-01,2018-02-23
008798,2018-12-05,2019-03-25
008903,2018-01-01,2018-01-15
008903,2018-06-11,2018-06-15
008903,2020-04-15,2020-04-28
008904,2018-01-03,2018-01-04
008904,2018-01-11,2018-02-09
